opp_id,lead_id,account_id,rep_id,segment,lead_source,plan,stage,amount,created_date,close_date
OPP-000101,LEAD-000258,ACC-00479,REP-0007,SMB,Paid Search,SOC2 Starter,Closed Won,1447.96,2026-01-23,2026-02-12
OPP-000102,LEAD-000261,ACC-00020,REP-0028,SMB,Compliance Webinar,SOC2 Starter,Closed Lost,1175.52,2026-04-24,2026-05-02
OPP-000103,LEAD-000267,ACC-00197,REP-0014,SMB,Organic Search,SOC2 Starter,Closed Lost,1366.6,2024-07-01,2024-07-23
OPP-000104,LEAD-000268,ACC-00596,REP-0028,SMB,Outbound Prospecting,SOC2 Starter,Closed Lost,1428.73,2024-06-02,2024-07-02
OPP-000105,LEAD-000270,ACC-00025,REP-0032,SMB,Security Conference,SOC2 Starter,Closed Lost,1365.05,2026-04-10,2026-05-04
OPP-000106,LEAD-000271,ACC-01097,REP-0028,Enterprise,Organic Search,SOC2 + ISO 27001,Closed Lost,3322.09,2024-06-01,2024-10-26
OPP-000107,LEAD-000273,ACC-00110,REP-0008,Mid-Market,Security Conference,SOC2 Starter,Closed Lost,1168.12,2025-03-13,2025-05-23
OPP-000108,LEAD-000279,ACC-01425,REP-0021,SMB,Partner Referral,SOC2 Starter,Closed Lost,1283.77,2024-01-03,2024-01-30
OPP-000109,LEAD-000281,ACC-01716,REP-0032,Enterprise,Paid Search,SOC2 Starter,Discovery,1220.4,2026-05-19,2026-06-30
OPP-000110,LEAD-000284,ACC-01341,REP-0039,Mid-Market,Organic Search,SOC2 + ISO 27001,Closed Lost,2423.38,2025-01-21,2025-02-25
OPP-000111,LEAD-000286,ACC-01362,REP-0028,Mid-Market,Security Conference,SOC2 + ISO 27001,Closed Won,3434.22,2024-01-31,2024-04-09
OPP-000112,LEAD-000292,ACC-00157,REP-0031,SMB,Security Conference,SOC2 Starter,Closed Lost,1449.39,2025-08-08,2025-08-25
OPP-000113,LEAD-000294,ACC-00439,REP-0031,SMB,Content Download,SOC2 Starter,Closed Lost,1299.9,2024-02-27,2024-03-05
OPP-000114,LEAD-000295,ACC-01273,REP-0026,SMB,Content Download,SOC2 Starter,Closed Lost,1367.9,2025-09-11,2025-10-05
OPP-000115,LEAD-000300,ACC-01511,REP-0040,SMB,Paid Search,SOC2 Starter,Closed Won,1411.1,2025-07-18,2025-08-05
OPP-000116,LEAD-000303,ACC-01346,REP-0023,SMB,Outbound Prospecting,SOC2 Starter,Closed Lost,1328.08,2025-05-27,2025-06-04
OPP-000117,LEAD-000304,ACC-01029,REP-0005,SMB,G2/Capterra Review,SOC2 Starter,Closed Lost,1230.91,2025-12-20,2026-01-12
OPP-000118,LEAD-000308,ACC-01035,REP-0004,SMB,Organic Search,SOC2 Starter,Closed Lost,1347.03,2024-08-08,2024-08-27
OPP-000119,LEAD-000309,ACC-00353,REP-0019,Mid-Market,Content Download,SOC2 Starter,Closed Lost,1342.29,2025-05-28,2025-07-14
OPP-000120,LEAD-000312,ACC-01766,REP-0018,SMB,Partner Referral,SOC2 Starter,Closed Lost,1518.02,2024-06-05,2024-06-13
OPP-000121,LEAD-000316,ACC-01304,REP-0025,SMB,Content Download,SOC2 Starter,Closed Lost,1501.65,2025-04-29,2025-05-11
OPP-000122,LEAD-000317,ACC-01253,REP-0002,Enterprise,Security Conference,SOC2 Starter,Closed Lost,1232.63,2024-05-06,2024-10-07
OPP-000123,LEAD-000321,ACC-01637,REP-0013,SMB,Paid Search,SOC2 Starter,Closed Won,1380.58,2026-01-28,2026-02-06
OPP-000124,LEAD-000323,ACC-00242,REP-0030,SMB,G2/Capterra Review,SOC2 Starter,Negotiation,1494.23,2026-06-14,2026-06-30
OPP-000125,LEAD-000326,ACC-00305,REP-0011,Enterprise,G2/Capterra Review,SOC2 + ISO 27001,Closed Won,2992.42,2024-12-02,2025-02-10
OPP-000126,LEAD-000327,ACC-00281,REP-0023,SMB,Outbound Prospecting,SOC2 Starter,Closed Lost,1135.66,2025-12-20,2025-12-27
OPP-000127,LEAD-000337,ACC-01744,REP-0023,SMB,Content Download,SOC2 Starter,Closed Won,1268.67,2025-12-10,2025-12-30
OPP-000128,LEAD-000342,ACC-00238,REP-0017,SMB,Paid Search,SOC2 Starter,Closed Lost,1288.27,2026-05-27,2026-06-05
OPP-000129,LEAD-000343,ACC-01451,REP-0032,SMB,Security Conference,SOC2 Starter,Closed Lost,1285.62,2024-02-07,2024-02-20
OPP-000130,LEAD-000351,ACC-01433,REP-0032,Mid-Market,G2/Capterra Review,Enterprise Multi-Framework,Negotiation,8145.48,2026-05-27,2026-06-27
OPP-000131,LEAD-000352,ACC-01480,REP-0010,SMB,Organic Search,SOC2 Starter,Closed Won,1257.22,2025-10-27,2025-11-03
OPP-000132,LEAD-000355,ACC-00489,REP-0031,SMB,Compliance Webinar,SOC2 Starter,Closed Lost,1265.89,2026-03-06,2026-03-21
OPP-000133,LEAD-000359,ACC-01265,REP-0040,SMB,Compliance Webinar,SOC2 Starter,Closed Won,1484.09,2026-05-08,2026-05-24
OPP-000134,LEAD-000367,ACC-00675,REP-0037,SMB,Compliance Webinar,SOC2 Starter,Closed Lost,1142.16,2024-11-26,2024-12-07
OPP-000135,LEAD-000369,ACC-01782,REP-0001,Mid-Market,Paid Search,Enterprise Multi-Framework,Closed Lost,7525.33,2024-03-21,2024-05-03
OPP-000136,LEAD-000370,ACC-01007,REP-0032,Mid-Market,Paid Search,SOC2 + ISO 27001,Closed Lost,2752.18,2025-04-09,2025-06-19
OPP-000137,LEAD-000372,ACC-01606,REP-0012,SMB,Partner Referral,SOC2 Starter,Closed Lost,1265.07,2025-01-22,2025-02-13
OPP-000138,LEAD-000376,ACC-00456,REP-0034,SMB,Outbound Prospecting,SOC2 Starter,Closed Lost,1387.75,2024-04-13,2024-05-13
OPP-000139,LEAD-000384,ACC-00147,REP-0009,SMB,Organic Search,SOC2 Starter,Closed Won,1075.98,2024-10-01,2024-10-26
OPP-000140,LEAD-000385,ACC-01352,REP-0005,SMB,Partner Referral,SOC2 Starter,Closed Won,1035.87,2025-07-18,2025-08-01
OPP-000141,LEAD-000386,ACC-00673,REP-0013,Mid-Market,Security Conference,SOC2 + ISO 27001,Closed Won,2890.31,2025-06-08,2025-08-15
OPP-000142,LEAD-000388,ACC-01182,REP-0018,Enterprise,Compliance Webinar,Enterprise Multi-Framework,Proposal,7665.22,2026-03-23,2026-06-30
OPP-000143,LEAD-000391,ACC-00213,REP-0011,SMB,Organic Search,SOC2 Starter,Closed Lost,1117.93,2025-08-03,2025-08-16
OPP-000144,LEAD-000396,ACC-01754,REP-0011,SMB,Content Download,SOC2 Starter,Closed Lost,1302.81,2024-11-22,2024-11-30
OPP-000145,LEAD-000399,ACC-00659,REP-0031,SMB,Compliance Webinar,SOC2 Starter,Closed Lost,1330.78,2026-04-06,2026-04-14
OPP-000146,LEAD-000401,ACC-00425,REP-0038,Mid-Market,Outbound Prospecting,Enterprise Multi-Framework,Closed Won,8376.71,2024-02-20,2024-03-26
OPP-000147,LEAD-000403,ACC-01151,REP-0029,SMB,Content Download,SOC2 Starter,Closed Lost,1086.9,2024-08-30,2024-09-22
OPP-000148,LEAD-000407,ACC-00229,REP-0028,SMB,G2/Capterra Review,SOC2 Starter,Closed Won,1370.73,2026-02-10,2026-03-12
OPP-000149,LEAD-000408,ACC-01057,REP-0001,SMB,Organic Search,SOC2 Starter,Closed Won,1056.51,2025-09-19,2025-10-15
OPP-000150,LEAD-000409,ACC-00219,REP-0040,SMB,Compliance Webinar,SOC2 Starter,Closed Lost,1313.47,2026-05-19,2026-06-02
OPP-000151,LEAD-000410,ACC-00553,REP-0039,Mid-Market,Organic Search,SOC2 Starter,Closed Lost,1311.77,2024-04-15,2024-06-09
OPP-000152,LEAD-000411,ACC-00405,REP-0029,SMB,Paid Search,SOC2 Starter,Closed Lost,1419.83,2024-11-26,2024-12-23
OPP-000153,LEAD-000413,ACC-00474,REP-0035,Enterprise,Outbound Prospecting,SOC2 + ISO 27001,Closed Lost,2457.11,2024-01-06,2024-04-03
OPP-000154,LEAD-000418,ACC-00513,REP-0037,Mid-Market,G2/Capterra Review,SOC2 + ISO 27001,Closed Lost,2774.58,2025-06-18,2025-08-02
OPP-000155,LEAD-000419,ACC-00064,REP-0029,SMB,Security Conference,SOC2 Starter,Closed Lost,1145.62,2024-11-25,2024-12-17
OPP-000156,LEAD-000422,ACC-00730,REP-0021,Mid-Market,Partner Referral,SOC2 Starter,Closed Won,1515.3,2025-05-21,2025-07-12
OPP-000157,LEAD-000423,ACC-01131,REP-0007,SMB,Paid Search,SOC2 Starter,Closed Lost,1380.58,2025-01-29,2025-02-26
OPP-000158,LEAD-000425,ACC-01662,REP-0012,SMB,Outbound Prospecting,SOC2 Starter,Closed Won,1555.91,2025-04-09,2025-05-04
OPP-000159,LEAD-000426,ACC-00119,REP-0009,Mid-Market,Organic Search,Enterprise Multi-Framework,Closed Lost,8377.71,2025-01-07,2025-03-02
OPP-000160,LEAD-000427,ACC-01565,REP-0011,SMB,Security Conference,SOC2 Starter,Closed Lost,1138.36,2026-03-09,2026-03-26
OPP-000161,LEAD-000430,ACC-00144,REP-0024,SMB,Paid Search,SOC2 Starter,Closed Won,1497.5,2024-01-30,2024-02-19
OPP-000162,LEAD-000435,ACC-01653,REP-0016,Mid-Market,Security Conference,SOC2 Starter,Closed Lost,1225.92,2024-02-21,2024-04-28
OPP-000163,LEAD-000440,ACC-00853,REP-0032,SMB,Compliance Webinar,SOC2 Starter,Closed Lost,1236.86,2024-01-04,2024-01-12
OPP-000164,LEAD-000441,ACC-01568,REP-0015,SMB,Security Conference,SOC2 Starter,Closed Lost,1057.31,2025-12-05,2025-12-14
OPP-000165,LEAD-000442,ACC-00883,REP-0006,SMB,Outbound Prospecting,SOC2 Starter,Closed Lost,1138.92,2024-12-06,2024-12-16
OPP-000166,LEAD-000443,ACC-01219,REP-0016,Enterprise,Content Download,SOC2 Starter,Closed Won,1158.04,2025-03-14,2025-08-13
OPP-000167,LEAD-000444,ACC-00117,REP-0015,SMB,Content Download,SOC2 Starter,Closed Won,1271.92,2024-06-23,2024-07-15
OPP-000168,LEAD-000446,ACC-01586,REP-0014,SMB,Partner Referral,SOC2 Starter,Closed Lost,1034.84,2024-01-18,2024-02-09
OPP-000169,LEAD-000447,ACC-00200,REP-0035,Mid-Market,Compliance Webinar,SOC2 Starter,Closed Won,1174.87,2024-06-20,2024-07-18
OPP-000170,LEAD-000449,ACC-00760,REP-0034,SMB,Outbound Prospecting,SOC2 Starter,Closed Won,1072.11,2025-05-13,2025-05-24
OPP-000171,LEAD-000452,ACC-00374,REP-0018,Mid-Market,Content Download,SOC2 + ISO 27001,Closed Won,3084.19,2025-11-06,2026-01-09
OPP-000172,LEAD-000456,ACC-00980,REP-0016,Mid-Market,Security Conference,SOC2 + ISO 27001,Closed Lost,2456.38,2024-06-28,2024-08-10
OPP-000173,LEAD-000457,ACC-00870,REP-0022,SMB,Outbound Prospecting,SOC2 Starter,Closed Lost,1201.06,2025-03-03,2025-03-14
OPP-000174,LEAD-000466,ACC-00449,REP-0025,Mid-Market,Content Download,SOC2 Starter,Closed Won,1459.8,2024-05-26,2024-07-24
OPP-000175,LEAD-000468,ACC-00326,REP-0003,SMB,Security Conference,SOC2 Starter,Closed Lost,1377.17,2025-11-25,2025-12-21
OPP-000176,LEAD-000471,ACC-01240,REP-0002,SMB,Content Download,SOC2 Starter,Closed Lost,1193.24,2024-05-18,2024-06-01
OPP-000177,LEAD-000477,ACC-01101,REP-0007,SMB,Content Download,SOC2 Starter,Closed Lost,1542.3,2024-09-05,2024-09-30
OPP-000178,LEAD-000479,ACC-00849,REP-0035,Enterprise,Paid Search,SOC2 + ISO 27001,Closed Won,3578.84,2025-02-16,2025-05-22
OPP-000179,LEAD-000480,ACC-00915,REP-0035,Mid-Market,Security Conference,SOC2 + ISO 27001,Closed Lost,3635.03,2025-04-16,2025-06-27
OPP-000180,LEAD-000482,ACC-00069,REP-0021,SMB,Organic Search,SOC2 Starter,Closed Lost,1215.24,2025-12-08,2025-12-23
OPP-000181,LEAD-000484,ACC-00174,REP-0024,Mid-Market,Paid Search,SOC2 + ISO 27001,Closed Lost,2392.12,2025-07-29,2025-09-29
OPP-000182,LEAD-000486,ACC-01612,REP-0012,Mid-Market,Compliance Webinar,SOC2 + ISO 27001,Closed Lost,3386.6,2024-01-07,2024-02-03
OPP-000183,LEAD-000490,ACC-01232,REP-0039,SMB,Content Download,SOC2 Starter,Closed Lost,1032.98,2025-07-13,2025-08-10
OPP-000184,LEAD-000491,ACC-00459,REP-0017,SMB,Security Conference,SOC2 Starter,Closed Lost,1208.52,2025-03-18,2025-04-14
