account_id,company_name,segment,industry,region,arr,signup_date
ACC-00114,"Ramirez, Strickland and Washington",SMB,Cybersecurity,South,10994.33,2025-06-18
ACC-00115,Hill Inc,Enterprise,Legal Tech,EMEA,340541.76,2025-07-05
ACC-00116,"Mitchell, Nelson and Flores",Mid-Market,Logistics,South,78672.75,2025-08-29
ACC-00117,"Miller, Hernandez and Reyes",SMB,HR Tech,West,12741.78,2025-04-06
ACC-00118,Mccarthy Inc,SMB,Logistics,EMEA,18375.64,2025-01-23
ACC-00119,Russell-Daniels,SMB,Logistics,Northeast,11091.28,2024-08-05
ACC-00120,Brown-Wall,SMB,Legal Tech,Northeast,12754.19,2025-09-02
ACC-00121,Stein-Silva,Mid-Market,Legal Tech,EMEA,25659.82,2024-07-14
ACC-00122,"Smith, Gilmore and Johnston",SMB,EdTech,South,17438.0,2024-09-03
ACC-00123,Smith-Bell,Mid-Market,Logistics,South,76540.64,2024-04-05
ACC-00124,Castaneda-Ashley,SMB,EdTech,Midwest,13205.5,2025-08-18
ACC-00125,Medina-Navarro,SMB,InsurTech,EMEA,13843.88,2026-02-02
ACC-00126,"Hurst, Freeman and Nelson",Mid-Market,E-commerce,South,42609.57,2024-09-14
ACC-00127,Johnson-Rogers,SMB,HR Tech,Northeast,10032.43,2025-07-02
ACC-00128,"Yates, Ramsey and Pittman",Enterprise,Cybersecurity,Midwest,157079.24,2025-05-10
ACC-00129,Hooper PLC,SMB,Data Infrastructure,EMEA,18145.44,2024-04-12
ACC-00130,Meadows PLC,Mid-Market,Legal Tech,Midwest,48457.27,2024-11-05
ACC-00131,"Alvarado, Miller and Patterson",SMB,InsurTech,Midwest,12663.29,2024-02-25
ACC-00132,White-Green,Mid-Market,Cybersecurity,South,31668.2,2024-01-13
ACC-00133,Lewis-Murphy,Mid-Market,Logistics,South,53630.47,2024-07-07
ACC-00134,Ramirez-Bean,Enterprise,Legal Tech,South,125367.01,2024-03-07
ACC-00135,King-Miller,SMB,HealthTech,EMEA,18700.58,2024-02-24
ACC-00136,Curry Inc,SMB,Data Infrastructure,Northeast,9448.08,2024-09-11
ACC-00137,Walker-Jones,SMB,EdTech,EMEA,18134.16,2025-09-25
ACC-00138,"Williams, Johnson and Wright",SMB,InsurTech,South,15658.75,2025-03-29
ACC-00139,Howell and Sons,SMB,Data Infrastructure,South,13191.46,2025-09-27
ACC-00140,Wells Inc,SMB,HealthTech,Midwest,18633.76,2024-09-27
ACC-00141,"Gould, Marshall and Scott",Mid-Market,Cybersecurity,Midwest,36297.88,2024-03-17
ACC-00142,Jackson-Lawson,SMB,EdTech,South,19719.31,2025-04-26
ACC-00143,"Higgins, Strickland and Martin",SMB,HR Tech,Northeast,20018.25,2025-12-20
ACC-00144,Rodriguez-Johnson,Mid-Market,HealthTech,Midwest,85054.22,2026-03-17
ACC-00145,Johnston-Odonnell,Mid-Market,Data Infrastructure,Midwest,52634.03,2025-07-11
ACC-00146,Sanders-Espinoza,SMB,Cybersecurity,Northeast,22052.73,2024-03-14
ACC-00147,Vargas Ltd,SMB,Legal Tech,EMEA,20732.28,2025-08-05
ACC-00148,Garcia LLC,Enterprise,Logistics,West,235296.37,2024-11-07
ACC-00149,"Burke, Martinez and Riggs",Mid-Market,Legal Tech,EMEA,60098.8,2025-03-24
ACC-00150,Reed Group,SMB,FinTech,South,20487.08,2025-09-10
ACC-00151,"Wood, Hunter and Peterson",SMB,HealthTech,Midwest,24352.49,2026-05-06
ACC-00152,Short-Garcia,Mid-Market,Data Infrastructure,West,89972.21,2025-11-19
ACC-00153,Reid-Poole,Mid-Market,Data Infrastructure,West,74602.09,2024-06-28
ACC-00154,"Hernandez, Thompson and Boyd",SMB,Logistics,Northeast,11085.32,2025-08-22
ACC-00155,"Nelson, Morton and Medina",SMB,Logistics,West,15990.18,2025-02-22
ACC-00156,Marshall-Petersen,SMB,HealthTech,Midwest,13606.66,2025-12-11
ACC-00157,"Adams, Christian and Rivas",SMB,EdTech,EMEA,8623.85,2024-03-31
ACC-00158,Ramirez Group,SMB,E-commerce,West,24493.14,2025-02-17
ACC-00159,Christensen PLC,Mid-Market,FinTech,EMEA,55028.46,2024-02-25
ACC-00160,"Barnett, Rogers and Snyder",SMB,E-commerce,EMEA,20859.53,2025-10-02
ACC-00161,White-Lewis,SMB,FinTech,Midwest,12539.96,2024-05-14
ACC-00162,Peterson-Beard,Enterprise,Logistics,South,127642.09,2025-10-07
ACC-00163,"Beard, Peters and Black",Mid-Market,HR Tech,Midwest,45198.76,2024-01-15
ACC-00164,Miller Ltd,Mid-Market,HealthTech,Midwest,89496.71,2024-04-26
ACC-00165,Freeman-Chang,SMB,HealthTech,Midwest,16472.38,2026-01-03
ACC-00166,"Alvarez, Joseph and West",SMB,Legal Tech,South,22190.31,2025-04-28
ACC-00167,Davis and Sons,SMB,InsurTech,Midwest,14520.96,2025-09-05
ACC-00168,Holt-Torres,SMB,Cybersecurity,West,12696.21,2026-03-19
ACC-00169,"Wood, Tran and Cooper",Mid-Market,E-commerce,EMEA,42366.22,2024-01-03
ACC-00170,"Pierce, Bell and Chavez",SMB,Legal Tech,EMEA,17858.7,2025-11-06
ACC-00171,King-Martinez,SMB,Cybersecurity,South,17155.87,2024-12-19
ACC-00172,Stewart Ltd,SMB,InsurTech,South,15740.86,2024-11-25
ACC-00173,"Tapia, Vaughn and Lee",Mid-Market,HR Tech,EMEA,49893.11,2026-05-26
ACC-00174,"Washington, Hardy and Bray",Mid-Market,FinTech,Northeast,73405.83,2025-12-23
ACC-00175,"Carlson, Hooper and Wall",Enterprise,EdTech,South,396408.34,2026-03-22
ACC-00176,Perez-White,Mid-Market,Cybersecurity,South,87713.59,2024-05-09
ACC-00177,Erickson and Sons,SMB,Data Infrastructure,Northeast,22784.91,2026-05-15
ACC-00178,Williams-Brown,SMB,InsurTech,South,8260.91,2024-05-27
ACC-00179,Terry-Martinez,SMB,Cybersecurity,West,15981.34,2024-09-28
ACC-00180,Garcia-Smith,SMB,EdTech,West,22480.01,2026-05-22
ACC-00181,Harrison-Alexander,Mid-Market,InsurTech,South,87019.07,2025-10-03
ACC-00182,Sheppard LLC,Mid-Market,Logistics,EMEA,27333.44,2024-03-11
ACC-00183,Wilson-Jones,SMB,Legal Tech,Midwest,20695.03,2025-03-20
ACC-00184,Jones-Soto,Enterprise,HealthTech,South,141573.08,2024-11-02
ACC-00185,Hernandez PLC,Enterprise,FinTech,Northeast,336804.47,2024-10-27
ACC-00186,Miller-Wright,SMB,EdTech,Midwest,12151.36,2025-02-25
ACC-00187,"Duran, Obrien and Gibbs",Mid-Market,Cybersecurity,Midwest,36379.51,2025-09-16
ACC-00188,Rowe Group,Enterprise,Data Infrastructure,Midwest,244276.85,2025-08-20
ACC-00189,Kerr-Evans,SMB,Logistics,Northeast,15812.7,2025-11-13
ACC-00190,"Branch, Torres and Oliver",SMB,Logistics,Northeast,19519.39,2024-06-10
ACC-00191,"Choi, Garcia and Farmer",SMB,E-commerce,EMEA,13085.62,2025-03-10
ACC-00192,"Clark, Guerrero and Moore",Mid-Market,Logistics,Northeast,37949.1,2025-01-28
ACC-00193,Arnold and Sons,Mid-Market,HealthTech,Midwest,49788.68,2025-01-02
ACC-00194,Ortiz Ltd,Mid-Market,Legal Tech,West,88566.39,2025-11-05
ACC-00195,"Harrison, Johnson and Roberts",SMB,FinTech,EMEA,22706.15,2026-03-07
ACC-00196,Warner-Gibson,Mid-Market,FinTech,EMEA,73436.19,2026-05-02
ACC-00197,"Hall, Baker and Moody",Enterprise,Legal Tech,Midwest,278190.15,2024-12-26
ACC-00198,"Guerrero, Peck and Coleman",SMB,HR Tech,EMEA,12260.66,2026-02-12
ACC-00199,"Walker, Hernandez and Baker",Mid-Market,Cybersecurity,West,83721.24,2025-10-23
ACC-00200,Jones and Sons,SMB,Logistics,West,17852.75,2026-01-19
ACC-00201,Larson-Holloway,SMB,Legal Tech,Northeast,20707.17,2024-06-28
ACC-00202,Gonzales-Harrison,SMB,InsurTech,Northeast,17024.49,2024-10-06
ACC-00203,Lyons-Bender,Mid-Market,Legal Tech,South,87879.96,2024-10-29
ACC-00204,"Fernandez, Kim and George",Mid-Market,E-commerce,West,55441.54,2024-03-18
ACC-00205,Navarro-Munoz,SMB,HR Tech,South,24443.59,2026-04-03
ACC-00206,Davis Ltd,Mid-Market,HealthTech,South,25904.71,2025-07-03
ACC-00207,"Matthews, Smith and Hubbard",SMB,E-commerce,Northeast,17937.52,2026-04-22
ACC-00208,Johnston-Hines,Mid-Market,E-commerce,West,68864.38,2025-04-27
ACC-00209,Ruiz Ltd,SMB,InsurTech,Northeast,23559.35,2024-08-14
ACC-00210,Moon-White,Mid-Market,Logistics,Northeast,67200.56,2024-04-29
ACC-00211,"Graham, Olsen and Costa",SMB,FinTech,Northeast,24930.77,2024-04-28
ACC-00212,Bailey-Cook,SMB,InsurTech,Midwest,14606.98,2025-01-14
ACC-00213,"Garcia, Martin and Jenkins",Mid-Market,InsurTech,South,63177.12,2026-01-14
ACC-00214,Roberts-Landry,SMB,EdTech,West,22172.78,2025-09-22
ACC-00215,"Johnson, Miller and King",SMB,Legal Tech,West,19734.77,2024-08-10
ACC-00216,Cordova Group,SMB,HR Tech,Northeast,9689.03,2025-12-03
ACC-00217,"Bryan, Smith and Booth",SMB,E-commerce,West,14768.37,2024-07-13
ACC-00218,Gutierrez-Lopez,Enterprise,Logistics,West,295458.31,2025-10-19
ACC-00219,Dean-Jimenez,Mid-Market,FinTech,West,76141.65,2024-09-06
ACC-00220,Wolf-Harris,Enterprise,Data Infrastructure,Midwest,111269.15,2026-02-22
ACC-00221,"Anderson, Roberts and Gilmore",Mid-Market,Data Infrastructure,Midwest,77848.44,2024-08-26
ACC-00222,Martinez-Dudley,SMB,Cybersecurity,EMEA,8048.2,2026-05-29
ACC-00223,"Lloyd, Mckinney and Collins",Enterprise,Cybersecurity,EMEA,167702.8,2024-06-27
ACC-00224,Tran Inc,SMB,FinTech,Midwest,8252.63,2026-03-19
ACC-00225,Gay Inc,Mid-Market,Data Infrastructure,Northeast,26025.77,2024-09-28
ACC-00226,Valentine-Holland,SMB,EdTech,EMEA,9932.04,2024-03-06
ACC-00227,Jimenez Ltd,SMB,E-commerce,EMEA,18092.32,2025-04-07
ACC-00228,Hicks-Hill,SMB,Data Infrastructure,West,20363.13,2025-11-05
ACC-00229,Baird-Sanchez,SMB,Logistics,West,9034.03,2025-05-05
ACC-00230,"Thomas, Lee and Greene",Mid-Market,EdTech,West,56867.48,2025-03-30
ACC-00231,"Suarez, Shields and Hill",SMB,HealthTech,Northeast,18341.06,2024-03-08
ACC-00232,Morgan-French,SMB,Data Infrastructure,EMEA,17322.06,2024-11-28
ACC-00233,Hoover-Campbell,SMB,Data Infrastructure,EMEA,13013.26,2025-06-01
ACC-00234,Monroe-Carpenter,Mid-Market,HealthTech,West,80431.53,2025-10-28
ACC-00235,"Burns, Hernandez and Ryan",Enterprise,InsurTech,Midwest,223321.68,2024-08-21
ACC-00236,Cook-Hines,SMB,Logistics,South,15071.82,2024-04-07
ACC-00237,Gibson-Morris,SMB,E-commerce,Northeast,14363.12,2024-06-05
ACC-00238,Pollard and Sons,Mid-Market,Logistics,West,30929.61,2024-03-28
ACC-00239,"Reyes, Chase and Jenkins",SMB,HealthTech,Northeast,21800.08,2025-07-23
ACC-00240,Garner-Thornton,SMB,InsurTech,EMEA,13603.98,2024-05-05
ACC-00241,Hughes-Alvarado,SMB,EdTech,West,24462.78,2025-09-06
ACC-00242,"Pollard, Simpson and Johnson",SMB,HealthTech,EMEA,16626.01,2024-06-07
ACC-00243,"Sanford, Rivera and Garcia",Mid-Market,HR Tech,West,47757.41,2025-07-23
ACC-00244,Garcia-Lozano,SMB,Legal Tech,EMEA,11844.7,2025-03-15
ACC-00245,Bowen Group,Mid-Market,Data Infrastructure,EMEA,68873.49,2025-07-24
ACC-00246,"Booker, Jones and Harrington",SMB,Legal Tech,West,11067.07,2025-12-20
ACC-00247,Morgan-Schwartz,Mid-Market,E-commerce,Northeast,25396.88,2024-05-26
ACC-00248,"Miller, Murphy and Craig",Mid-Market,EdTech,West,34221.85,2025-10-10
ACC-00249,"James, Stewart and Higgins",Enterprise,HealthTech,EMEA,156691.19,2025-03-05
ACC-00250,Brennan-Johnson,SMB,Cybersecurity,Northeast,13297.84,2024-11-28
ACC-00251,Young Ltd,Mid-Market,Data Infrastructure,EMEA,30522.21,2024-02-23
ACC-00252,Bright-Francis,SMB,Data Infrastructure,West,19457.47,2024-10-05
ACC-00253,Good-Hodges,SMB,EdTech,South,18320.29,2025-02-28
ACC-00254,"Brennan, Wallace and Benson",SMB,InsurTech,West,13867.94,2024-04-23
ACC-00255,Williams Inc,SMB,Data Infrastructure,South,16957.88,2024-11-11
ACC-00256,Howard-Jordan,SMB,EdTech,EMEA,8931.29,2024-07-28
ACC-00257,Schmidt PLC,SMB,HR Tech,Midwest,20990.74,2024-10-23
ACC-00258,"Sparks, Jackson and Miller",SMB,FinTech,South,20699.24,2024-06-28
ACC-00259,Harvey-Allen,SMB,InsurTech,Midwest,16504.46,2026-05-03
ACC-00260,"Thomas, Murray and King",Mid-Market,E-commerce,West,50809.63,2026-01-29
ACC-00261,Estrada-Nolan,SMB,FinTech,South,23659.76,2024-11-16
ACC-00262,Santana-Byrd,Mid-Market,Data Infrastructure,South,71117.43,2025-03-03
ACC-00263,Jones LLC,SMB,EdTech,West,24425.39,2024-06-24
ACC-00264,"Evans, Hayden and Vaughn",Mid-Market,Data Infrastructure,South,79081.68,2025-01-05
ACC-00265,Bruce-Gonzalez,SMB,HealthTech,Midwest,15406.5,2025-02-14
ACC-00266,Castaneda-Rodriguez,SMB,EdTech,Northeast,20678.68,2024-08-14
ACC-00267,Armstrong-Andrews,SMB,Cybersecurity,West,16678.22,2024-04-26
ACC-00268,"Phillips, Spence and Barrett",SMB,HR Tech,Northeast,13968.7,2026-04-18
ACC-00269,Smith-Grimes,Mid-Market,Cybersecurity,Midwest,31682.29,2024-09-19
ACC-00270,"Beltran, Lozano and Mcgee",SMB,Data Infrastructure,Midwest,20923.66,2025-11-02
ACC-00271,Parsons-Hall,SMB,Logistics,South,20825.58,2026-02-17
ACC-00272,Robinson-Lee,Mid-Market,Data Infrastructure,EMEA,46008.54,2025-10-04
ACC-00273,Byrd-Le,SMB,Logistics,West,15971.66,2025-10-08
ACC-00274,"Becker, Taylor and Davis",SMB,Legal Tech,EMEA,8954.93,2025-06-03
ACC-00275,"Lucas, Parker and Alexander",SMB,Logistics,South,8639.32,2025-01-12
ACC-00276,"Diaz, Anderson and Browning",Mid-Market,HealthTech,West,64975.55,2025-06-03
ACC-00277,Burgess-Thompson,SMB,Data Infrastructure,EMEA,24221.94,2026-01-26
ACC-00278,Buchanan LLC,Enterprise,Logistics,EMEA,292069.61,2024-11-25
ACC-00279,"Shaw, Nelson and Martin",Mid-Market,InsurTech,Midwest,87251.95,2025-04-06
ACC-00280,Coffey-Phillips,SMB,E-commerce,West,16577.33,2024-06-25
ACC-00281,Brock-Mcdonald,SMB,Logistics,South,16909.17,2025-09-16
ACC-00282,Taylor and Sons,SMB,E-commerce,Northeast,14586.08,2026-03-04
ACC-00283,"Ramsey, Whitney and Coffey",SMB,Data Infrastructure,West,21416.86,2025-10-24
ACC-00284,"Diaz, Gibbs and Smith",SMB,E-commerce,West,17485.37,2025-01-30
ACC-00285,"Martinez, Richardson and Curry",SMB,Data Infrastructure,Midwest,13667.15,2025-08-19
ACC-00286,Richards-Carson,Mid-Market,E-commerce,Northeast,87900.27,2025-12-16
ACC-00287,Rodriguez-Hall,Mid-Market,Cybersecurity,EMEA,71074.21,2024-03-27
ACC-00288,Harvey PLC,SMB,EdTech,Northeast,21824.14,2025-11-17
ACC-00289,Herman-Walker,Mid-Market,InsurTech,West,66991.61,2025-03-09
ACC-00290,Reid Group,SMB,FinTech,Northeast,13250.72,2024-08-07
ACC-00291,"Turner, Ortiz and Taylor",SMB,Logistics,Midwest,11851.23,2024-05-20
ACC-00292,Torres Group,SMB,Legal Tech,West,16630.73,2025-07-06
ACC-00293,Davis PLC,Mid-Market,InsurTech,West,68025.4,2026-02-23
ACC-00294,Price LLC,Mid-Market,Data Infrastructure,South,35026.43,2024-07-04
ACC-00295,"Avery, Horton and Fernandez",Mid-Market,Data Infrastructure,Midwest,71876.89,2024-02-14
ACC-00296,"Newton, Moore and Perry",SMB,HR Tech,South,18380.12,2026-02-09
ACC-00297,Bass PLC,Mid-Market,Logistics,Midwest,59710.72,2024-11-12
ACC-00298,Crosby-Ramirez,Enterprise,Logistics,Midwest,204030.7,2025-08-07
ACC-00299,"Wood, Ramos and Sampson",Enterprise,Logistics,Northeast,331218.45,2025-05-29
ACC-00300,Garcia-Jennings,SMB,Cybersecurity,Midwest,21621.41,2024-05-21
ACC-00301,"Winters, Newman and Brown",Enterprise,FinTech,South,360976.25,2025-07-21
ACC-00302,Lopez-Martinez,Enterprise,InsurTech,West,178369.53,2026-02-20
ACC-00303,Davis-Lewis,SMB,Logistics,EMEA,10504.93,2025-03-23
ACC-00304,"Harper, Smith and Buchanan",SMB,HR Tech,South,23038.71,2024-01-28
ACC-00305,Zhang PLC,SMB,EdTech,EMEA,14357.35,2025-01-30
ACC-00306,Jones PLC,Enterprise,E-commerce,Midwest,98738.14,2024-04-11
ACC-00307,Willis and Sons,Mid-Market,E-commerce,Midwest,33943.97,2024-10-20
ACC-00308,Schroeder-Kramer,Enterprise,Logistics,Midwest,325240.76,2025-04-25
